UNDEF;Undefiniert
001;Cholera
002;Typhus abdominalis und Paratyphus
003;Shigellose [Bakterielle Ruhr]
004;Amöbiasis [Amöbenruhr]
005;Diarrhoe und Gastroenteritis, vermutlich infektiösen Ursprungs
006;Sonstige infektiöse Darmkrankheiten
007;Tuberkulose der Atmungsorgane
008;Sonstige Tuberkulose
009;Pest
010;Brucellose
011;Lepra [Aussatz]
012;Tetanus neonatorum
013;Sonstiger Tetanus
014;Diphtherie
015;Keuchhusten
016;Meningokokkeninfektion
017;Sepsis
018;Sonstige bakterielle Krankheiten
019;Syphilis connata
020;Frühsyphilis
021;Sonstige Syphilis
022;Gonokokkeninfektion
023;Durch Geschlechtsverkehr übertragene Chlamydienkrankheiten
024;Sonstige Infektionen, die vorwiegend durch Geschlechtsverkehr übertragen werden
025;Rückfallfieber
026;Trachom
027;Fleckfieber
028;Akute Poliomyelitis
029;Tollwut
030;Virusenzephalitis
031;Gelbfieber
032;Sonstige durch Arthropoden übertragene Viruskrankheiten und virale hämorrhagische Fieber
033;Infektionen durch Herpesviren [Herpes simplex]
034;Varizellen [Windpocken] und Zoster
035;Masern
036;Röteln
037;Akute Virushepatitis B
038;Sonstige Virushepatitis
039;HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
040;Mumps
041;Sonstige Viruskrankheiten
042;Mykosen
043;Malaria
044;Leishmaniose
045;Trypanosomiasis
046;Schistosomiasis [Bilharziose]
047;Befall durch sonstige Trematoden [Egel]
048;Echinokokkose
049;Drakunkulose
050;Onchozerkose
051;Filariose
052;Hakenwurm-Krankheit
053;Sonstige Helminthosen
054;Folgezustände der Tuberkulose
055;Folgezustände der Poliomyelitis
056;Folgezustände der Lepra
057;Sonstige infektiöse und parasitäre Krankheiten
058;Bösartige Neubildung der Lippe, der Mundhöhle und des Pharynx
059;Bösartige Neubildung des Ösophagus
060;Bösartige Neubildung des Magens
061;Bösartige Neubildung des Dickdarmes
062;Bösartige Neubildung am Rektosigmoid, Rektum, Anus und Analkanal
063;Bösartige Neubildung der Leber und der intrahepatischen Gallengänge
064;Bösartige Neubildung des Pankreas
065;Sonstige bösartige Neubildungen der Verdauungsorgane
066;Bösartige Neubildungen des Larynx
067;Bösartige Neubildung der Trachea, der Bronchien und der Lunge
068;Sonstige bösartige Neubildungen der Atmungsorgane und der intrathorakalen Organe
069;Bösartige Neubildung des Knochens und des Gelenkknorpels
070;Bösartiges Melanom der Haut
071;Sonstige bösartige Neubildungen der Haut
072;Bösartige Neubildungen des mesothelialen Gewebes und des Weichteilgewebes
